qID,precision@5
100263,0.2
102169,0.0
10436,0.0
105799,0.0
106384,0.0
10668,0.0
107221,0.0
110502,0.0
123711,0.0
126303,0.0
131041,0.0
131187,0.0
1372,0.0
148321,0.0
148656,0.0
151854,0.0
152769,0.0
157976,0.0
159523,0.0
16377,0.0
17077,0.0
1786,0.0
180614,0.0
181189,0.0
18537,0.0
203,0.0
21155,0.0
2157,0.0
26620,0.0
4537,0.0
45451,0.0
48051,0.0
49412,0.0
5,0.0
52640,0.0
58190,0.0
6051,0.0
60979,0.0
638,0.0
67088,0.0
68320,0.0
69267,0.0
75985,0.0
7916,0.0
83047,0.0
87954,0.0
9326,0.0
94885,0.0
965,0.4
9972,0.0
